title,company,location,job_url,date_posted,site,category,job_type,is_remote,description,company_url
Campus Talent Community,Hudson River Trading,All Offices,https://job-boards.greenhouse.io/hrttalentcommunity/jobs/3432773,2025-12-12T10:26:26-05:00,company_career_page,Prop Trading,,False,,https://www.hudsonrivertrading.com/careers/
FPGA Verification and Developer (Internships and Campus Full-time),Hudson River Trading,"New York, NY, United States",https://job-boards.greenhouse.io/hrttalentcommunity/jobs/4576493,2025-12-08T03:20:44-05:00,company_career_page,Prop Trading,,False,,https://www.hudsonrivertrading.com/careers/
HRT Talent Community,Hudson River Trading,All Offices,https://job-boards.greenhouse.io/hrttalentcommunity/jobs/3530960,2025-12-08T03:20:44-05:00,company_career_page,Prop Trading,,False,,https://www.hudsonrivertrading.com/careers/
Paths withPurpose,Jane Street,LOCATIONAll LocationsLocation,https://www.janestreet.com/ad-cookie-policy,2025-12-20T03:16:21.758581,company_career_page,Prop Trading,,False,,https://www.janestreet.com/join-jane-street/open-roles/
Experienced Candidates,Jane Street,Location not specified,https://www.janestreet.com/join-jane-street/open-roles/?type=experienced-candidates,2025-12-20T03:16:21.759123,company_career_page,Prop Trading,,False,,https://www.janestreet.com/join-jane-street/open-roles/
Students and New Grads,Jane Street,Location not specified,https://www.janestreet.com/join-jane-street/open-roles/,2025-12-20T03:16:21.759412,company_career_page,Prop Trading,,False,,https://www.janestreet.com/join-jane-street/open-roles/
Senior Technical Analyst,Optiver,Location not specified,https://optiver.com/working-at-optiver/career-opportunities/8212225002/,2025-12-20T03:16:23.109238,company_career_page,Prop Trading,,False,,https://www.optiver.com/careers
Data Site Reliability Engineer,Optiver,Location not specified,https://optiver.com/working-at-optiver/career-opportunities/8316368002/,2025-12-20T03:16:23.112134,company_career_page,Prop Trading,,False,,https://www.optiver.com/careers
Compliance Intern 2026,Optiver,Location not specified,https://optiver.com/working-at-optiver/career-opportunities/8170029002/,2025-12-20T03:16:23.112229,company_career_page,Prop Trading,,False,,https://www.optiver.com/careers
APAC Information Security Operations Lead,Optiver,Location not specified,https://optiver.com/working-at-optiver/career-opportunities/8344469002/,2025-12-20T03:16:23.112322,company_career_page,Prop Trading,,False,,https://www.optiver.com/careers
Information Security Engineer,Optiver,Location not specified,https://optiver.com/working-at-optiver/career-opportunities/8344418002/,2025-12-20T03:16:23.112416,company_career_page,Prop Trading,,False,,https://www.optiver.com/careers
Procurement Sourcing Analyst,Optiver,Location not specified,https://optiver.com/working-at-optiver/career-opportunities/8344342002/,2025-12-20T03:16:23.112510,company_career_page,Prop Trading,,False,,https://www.optiver.com/careers
