id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
li-4344921817,linkedin,https://www.linkedin.com/jobs/view/4344921817,,"Data Scientist, Advertising Products & Solutions",NBCUniversal,"New York, NY",2025-12-18,,,,,,,,,,,,,,https://www.linkedin.com/company/nbcuniversal-inc-,,,,,,
li-4303692629,linkedin,https://www.linkedin.com/jobs/view/4303692629,,Senior Fixed Income Quantitative Analyst,"Lord, Abbett & Co. LLC","Jersey City, NJ",2025-12-17,,,,,,,,,,,,,,https://www.linkedin.com/company/lord-abbett-&-co-llc,,,,,,
li-4344088718,linkedin,https://www.linkedin.com/jobs/view/4344088718,,"Scientist IV, Data Excellence Computational Innovation",Boehringer Ingelheim,"Ridgefield, CT",2025-12-17,,,,,,,,,,,,,,https://de.linkedin.com/company/boehringer-ingelheim,,,,,,
li-4325793417,linkedin,https://www.linkedin.com/jobs/view/4325793417,,"Data Scientist, Agentic AI",Soni,"Bethlehem, PA",,,,,,,,,,,,,,,https://www.linkedin.com/company/soni-resources-group,,,,,,
li-4344921817,linkedin,https://www.linkedin.com/jobs/view/4344921817,,"Data Scientist, Advertising Products & Solutions",NBCUniversal,"New York, NY",2025-12-18,,,,,,,,,,,,,,https://www.linkedin.com/company/nbcuniversal-inc-,,,,,,
li-4268415875,linkedin,https://www.linkedin.com/jobs/view/4268415875,,GBM Equities - Electronic Market Making – Quant Researcher – Associate – New York,Goldman Sachs,"New York, NY",2025-12-17,,,,,,,,,,,,,,https://www.linkedin.com/company/goldman-sachs,,,,,,
li-4303692629,linkedin,https://www.linkedin.com/jobs/view/4303692629,,Senior Fixed Income Quantitative Analyst,"Lord, Abbett & Co. LLC","Jersey City, NJ",2025-12-17,,,,,,,,,,,,,,https://www.linkedin.com/company/lord-abbett-&-co-llc,,,,,,
li-4344326320,linkedin,https://www.linkedin.com/jobs/view/4344326320,,"Senior Associate, Data Scientist - AI Software Engineering",Capital One,"New York, NY",2025-12-17,,,,,,,,,,,,,,https://www.linkedin.com/company/capital-one,,,,,,
li-4344088718,linkedin,https://www.linkedin.com/jobs/view/4344088718,,"Scientist IV, Data Excellence Computational Innovation",Boehringer Ingelheim,"Ridgefield, CT",2025-12-17,,,,,,,,,,,,,,https://de.linkedin.com/company/boehringer-ingelheim,,,,,,
li-4328270880,linkedin,https://www.linkedin.com/jobs/view/4328270880,,Jr Quant Researcher - Trading Desk,JW Michaels & Co.,"New York, NY",,,,,,,,,,,,,,,https://www.linkedin.com/company/jwmichaels,,,,,,
li-4325793417,linkedin,https://www.linkedin.com/jobs/view/4325793417,,"Data Scientist, Agentic AI",Soni,"Bethlehem, PA",,,,,,,,,,,,,,,https://www.linkedin.com/company/soni-resources-group,,,,,,
li-4345212358,linkedin,https://www.linkedin.com/jobs/view/4345212358,,"Senior Associate, Data Scientist - US Card (Fraud)",Capital One,"New York, NY",,,,,,,,,,,,,,,https://www.linkedin.com/company/capital-one,,,,,,
li-4344921817,linkedin,https://www.linkedin.com/jobs/view/4344921817,,"Data Scientist, Advertising Products & Solutions",NBCUniversal,"New York, NY",2025-12-18,,,,,,,,,,,,,,https://www.linkedin.com/company/nbcuniversal-inc-,,,,,,
li-4268415875,linkedin,https://www.linkedin.com/jobs/view/4268415875,,GBM Equities - Electronic Market Making – Quant Researcher – Associate – New York,Goldman Sachs,"New York, NY",2025-12-17,,,,,,,,,,,,,,https://www.linkedin.com/company/goldman-sachs,,,,,,
li-4303692629,linkedin,https://www.linkedin.com/jobs/view/4303692629,,Senior Fixed Income Quantitative Analyst,"Lord, Abbett & Co. LLC","Jersey City, NJ",2025-12-17,,,,,,,,,,,,,,https://www.linkedin.com/company/lord-abbett-&-co-llc,,,,,,
li-4344326320,linkedin,https://www.linkedin.com/jobs/view/4344326320,,"Senior Associate, Data Scientist - AI Software Engineering",Capital One,"New York, NY",2025-12-17,,,,,,,,,,,,,,https://www.linkedin.com/company/capital-one,,,,,,
li-4344088718,linkedin,https://www.linkedin.com/jobs/view/4344088718,,"Scientist IV, Data Excellence Computational Innovation",Boehringer Ingelheim,"Ridgefield, CT",2025-12-17,,,,,,,,,,,,,,https://de.linkedin.com/company/boehringer-ingelheim,,,,,,
li-4328270880,linkedin,https://www.linkedin.com/jobs/view/4328270880,,Jr Quant Researcher - Trading Desk,JW Michaels & Co.,"New York, NY",,,,,,,,,,,,,,,https://www.linkedin.com/company/jwmichaels,,,,,,
