id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,relevance_score
in-2df5d0c049d49280,indeed,https://www.indeed.com/viewjob?jk=2df5d0c049d49280,https://wpunj.wd1.myworkdayjobs.com/en-US/ext/job/William-Paterson-University/Financial-Data-Analyst_R892,Financial Data Analyst,William Paterson University,"Wayne, NJ, US",2025-12-19,[],description,yearly,74251.0,90000.0,USD,False,,,,umanresources@wpunj.edu,Education And Schools,https://www.indeed.com/cmp/William-Paterson-University,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/9fcb404b6fb8904b3abadc75835305b3,https://www.wpunj.edu,"Wayne, NJ","1,001 to 5,000",$100M to $500M (USD),,1.0
in-e9af7d22b65d7035,indeed,https://www.indeed.com/viewjob?jk=e9af7d22b65d7035,https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=0#/jobs/31637118,"Data Analyst ( SQL, SSIS)",Smart IMS,"Bridgewater, NJ, US",2025-12-19,[],,,,,,False,,,,[],,https://www.indeed.com/cmp/Smart-Ims-2,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/5f644d0d0c1d5a746cce9fcae2f3b731,https://smartims.com,"103 Morgan Lane Plainsboro,
NJ – 08536",,,,1.0
in-f31a4f47775d18e4,indeed,https://www.indeed.com/viewjob?jk=f31a4f47775d18e4,https://opportunities.columbia.edu/jobs/data-analyst-center-for-patient-safety-science-columbia-university-medical-center-new-york-united-states-596c7e30-5560-4d50-a3d2-4fedabc2feb4,Data Analyst - Center for Patient Safety Science,Columbia University,"New York, NY, US",2025-12-19,[],description,yearly,66300.0,70000.0,USD,False,,,,[],Education And Schools,https://www.indeed.com/cmp/Columbia-University,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/dbc99b0d63f096359927f19db84c48ea,https://www.columbia.edu/,"116th and Broadway
New York, NY 10027","10,000+",$1B to $5B (USD),,1.0
in-7467aa09825b66a2,indeed,https://www.indeed.com/viewjob?jk=7467aa09825b66a2,https://recruiting.adp.com/srccsh/public/RTI.home?r=5001168430300&c=2169307&d=ExternalCareerSite&rb=INDEED&idUnique=5001168430300,Intern - Commercial Data & Analytics,Valley Bank,"Morristown, NJ, US",2025-12-19,[],,,,,,False,,,,[],,https://www.indeed.com/cmp/Valley-Bank-3,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/bc583ee75e7ddef13cc261d5a6e272d1,http://www.valley.com,,"1,001 to 5,000",$1B to $5B (USD),"If you think working in banking can’t be exciting, think again. The financial industry is undergoing a digital transformation, which makes this a great time to embark on a career at Valley. ",0.9
in-1f7aaf9557dbad5c,indeed,https://www.indeed.com/viewjob?jk=1f7aaf9557dbad5c,https://grnh.se/nv79vry2teu,"Senior Specialist, Data Analytics",Brainlabs,"New York, NY, US",2025-12-19,[],,,,,,False,,,,[],,https://www.indeed.com/cmp/Brainlabs,,,,,,,0.9
in-222e966398e854ca,indeed,https://www.indeed.com/viewjob?jk=222e966398e854ca,https://careers.munichre.com/en/job/hartford/claims-insights-analyst/3342/33314921216,Claims Insights Analyst,HSB,"Hartford, CT, US",2025-12-19,[],,,,,,False,,,,[],,https://www.indeed.com/cmp/Hsb-b8a4c512,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/440854c3f6c0ae96f03d439615104158,https://www.munichre.com/hsb/en.html,,,,,0.9
in-62d763b4e8f26cbf,indeed,https://www.indeed.com/viewjob?jk=62d763b4e8f26cbf,https://fa-ewmy-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/preview/2852,Data Product Engineer,Verisk,"Middletown, CT, US",2025-12-19,[],,,,,,False,,,,[],,https://www.indeed.com/cmp/Verisk,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/03db36f4be7994128e3df5e8fe8e1e31,https://www.verisk.com,"Jersey City, NJ","5,001 to 10,000",$1B to $5B (USD),"Verisk aims to be the leading strategic data, analytics, and technology partner to the global insurance industry by delivering value to our clients through knowledge, expertise and scale.",0.9
in-d62c2d3687427eec,indeed,https://www.indeed.com/viewjob?jk=d62c2d3687427eec,https://recruitment.macquarie.com/en_US/careers/JobDetail?jobId=19927,Digital Business Analyst,Macquarie Group,"New York, NY, US",2025-12-17,[],description,yearly,130000.0,165000.0,USD,False,,,,[],Banks And Financial Services,https://www.indeed.com/cmp/Macquarie-Group,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f00507139e2a4358159e507979f38b73,https://www.macquarie.com/,"Sydney, Australia","10,000+",more than $10B (USD),Empowering people to innovate and invest for a better future.,0.9
in-dc23c64f7de265bf,indeed,https://www.indeed.com/viewjob?jk=dc23c64f7de265bf,https://jobs.vnshealth.org/careers-home/jobs/4275/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,"Electronic Healthcare Systems Analyst, Medical Care At Home, Per Diem (Athena EMR Experience Required - Mostly Remote)",VNS Health,"New York, NY, US",2025-12-17,[],,,,,,False,,,,[],,https://www.indeed.com/cmp/Vns-Health,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/d15abad82621a40aa4127ce077ad407c,http://vnshealth.org,"New York, NY","10,000+",$1B to $5B (USD),Our community of professionals work in a collaborative culture powered by a spirited passion for the work they do.,0.9
in-20e8c29d3e9d31ec,indeed,https://www.indeed.com/viewjob?jk=20e8c29d3e9d31ec,https://www.amazon.jobs/jobs/3129931/sales-compensation-analyst-advertising-sales-incentive-compensation-?cmpid=DA_INAD200785B,"Sales Compensation Analyst, Advertising Sales Incentive Compensation",Amazon.com,"New York, NY, US",2025-11-07,[],,,,,,False,,,,[],Internet And Software,https://www.indeed.com/cmp/Amazon.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3e9d43f5c277de169808abdcaf49ba2c,https://www.amazon.jobs,"440 Terry Ave N, Seattle, WA, United States, Washington","10,000+",more than $10B (USD),Our mission is to be Earth's most customer-centric company.,0.9
