id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,relevance_score
in-a406086869a9a196,indeed,https://www.indeed.com/viewjob?jk=a406086869a9a196,https://jobs.ashbyhq.com/troveo/e4aeccd0-6c79-4bd6-be21-2ffde994c415?utm_source=qeR8DAp0XE,Data Analyst,,"San Francisco, CA, US",2025-12-18,[],,,,,,False,,,,[],,,,,,,,,1.0
in-86b39ec675c5f143,indeed,https://www.indeed.com/viewjob?jk=86b39ec675c5f143,https://jobs.ashbyhq.com/two-dots/844ba80a-a5d6-4772-b0d1-21b753cf59db?utm_source=Qoj8Mj7apz,Data Analyst,two dots,"San Francisco, CA, US",2025-12-08,[],description,yearly,100000.0,175000.0,USD,False,,,,[],,https://www.indeed.com/cmp/Two-Dots,,,,,,,1.0
in-2ade7908b6795304,indeed,https://www.indeed.com/viewjob?jk=2ade7908b6795304,https://jobs.ashbyhq.com/suno/90e05d8b-5142-4cad-96c2-eedac3f8d928?utm_source=n3DElNN88q,Analytics Engineer,suno,"San Francisco, CA, US",2025-12-11,[],description,yearly,200000.0,250000.0,USD,False,,,,[],,https://www.indeed.com/cmp/Suno,,http://www.sunony.com,New York,11 to 50,,,0.8
li-4345016324,linkedin,https://www.linkedin.com/jobs/view/4345016324,,Data Analyst,Troveo AI,"San Francisco, CA",2025-12-19,,,,,,,,,,,,,https://www.linkedin.com/company/troveo,,,,,,,1.0
li-4344687272,linkedin,https://www.linkedin.com/jobs/view/4344687272,,Data Analyst,Air Apps,"San Francisco, CA",2025-12-18,,,,,,,,,,,,,https://www.linkedin.com/company/airapps,,,,,,,1.0
li-4321559093,linkedin,https://www.linkedin.com/jobs/view/4321559093,,"Product Data Analyst, Servicing","Upgrade, Inc.","San Francisco, CA",2025-12-16,,,,,,,,,,,,,https://www.linkedin.com/company/upgrade-inc-,,,,,,,1.0
li-4291544768,linkedin,https://www.linkedin.com/jobs/view/4291544768,,Data Analyst,Rippling,"San Francisco, CA",2025-12-11,,,,,,,,,,,,,https://www.linkedin.com/company/rippling,,,,,,,1.0
li-4340949827,linkedin,https://www.linkedin.com/jobs/view/4340949827,,Data Analyst,Minted,"San Francisco, CA",2025-12-10,,,,,,,,,,,,,https://www.linkedin.com/company/minted,,,,,,,1.0
li-4343001930,linkedin,https://www.linkedin.com/jobs/view/4343001930,,Data Analyst,Success Centers,"San Francisco, CA",2025-12-09,,,,,,,,,,,,,https://www.linkedin.com/company/success-center-san-francisco,,,,,,,1.0
li-4342686969,linkedin,https://www.linkedin.com/jobs/view/4342686969,,Data Analyst,Two Dots,"San Francisco, CA",2025-12-09,,,,,,,,,,,,,https://www.linkedin.com/company/two-dots-financial,,,,,,,1.0
li-4342604816,linkedin,https://www.linkedin.com/jobs/view/4342604816,,"Data Analyst, Supply Chain","Checkr, Inc.","San Francisco, CA",2025-12-08,,,,,,,,,,,,,https://www.linkedin.com/company/checkr-com,,,,,,,1.0
li-4342135831,linkedin,https://www.linkedin.com/jobs/view/4342135831,,Data Analyst,Cardless,"San Francisco, CA",2025-12-05,,,,,,,,,,,,,https://www.linkedin.com/company/cardless,,,,,,,1.0
li-4342274053,linkedin,https://www.linkedin.com/jobs/view/4342274053,,Data Analyst (Hybrid),Doximity,"San Francisco, CA",2025-12-04,,,,,,,,,,,,,https://www.linkedin.com/company/doximity,,,,,,,1.0
li-4342024654,linkedin,https://www.linkedin.com/jobs/view/4342024654,,Data Analyst,Anrok,"San Francisco, CA",2025-12-03,,,,,,,,,,,,,https://www.linkedin.com/company/anrok,,,,,,,1.0
li-4313812386,linkedin,https://www.linkedin.com/jobs/view/4313812386,,"Data Analyst, User Operations",OpenAI,"San Francisco, CA",2025-11-30,,,,,,,,,,,,,https://www.linkedin.com/company/openai,,,,,,,1.0
li-4333913407,linkedin,https://www.linkedin.com/jobs/view/4333913407,,Data Analyst - First Data Hire,Mem0,"San Francisco, CA",2025-11-04,,,,,,,,,,,,,https://www.linkedin.com/company/mem0,,,,,,,1.0
li-4318505490,linkedin,https://www.linkedin.com/jobs/view/4318505490,,Data Analyst,Zencastr,"San Francisco, CA",2025-10-22,,,,,,,,,,,,,https://www.linkedin.com/company/zencastr,,,,,,,1.0
li-4318502534,linkedin,https://www.linkedin.com/jobs/view/4318502534,,Data Analyst,Numeral,"San Francisco, CA",2025-10-22,,,,,,,,,,,,,https://www.linkedin.com/company/numeralhq,,,,,,,1.0
li-4318511129,linkedin,https://www.linkedin.com/jobs/view/4318511129,,Customer Data Analyst,Upside,"San Francisco, CA",2025-10-22,,,,,,,,,,,,,https://www.linkedin.com/company/upsidelabs,,,,,,,1.0
li-4343665006,linkedin,https://www.linkedin.com/jobs/view/4343665006,,Analyst- SF,Aarki,"San Francisco, CA",2025-12-15,,,,,,,,,,,,,https://www.linkedin.com/company/aarki,,,,,,,0.9
li-4275553876,linkedin,https://www.linkedin.com/jobs/view/4275553876,,Quantitative Analyst,Verse,"San Francisco, CA",2025-07-25,,,,,,,,,,,,,https://www.linkedin.com/company/versedotinc,,,,,,,0.9
