id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,relevance_score
in-10e6079cc651fc8e,indeed,https://www.indeed.com/viewjob?jk=10e6079cc651fc8e,https://grnh.se/5qhhq0ti2us,Tech Developer Teaching Assistant - First Year Academy,SEO (Sponsors for Educational Opportunity),"New York, NY, US",2025-12-19,[],,,,,,True,,,,[],,https://www.indeed.com/cmp/SEO-(sponsors-For-Educational-Opportunity),,,,,,,0.5
in-3bc59c317605046d,indeed,https://www.indeed.com/viewjob?jk=3bc59c317605046d,https://grnh.se/hj6e5gro2us,Senior Software Engineer,Workato,"San Francisco, CA, US",2025-12-19,[],,,,,,True,,,,[],,https://www.indeed.com/cmp/Workato,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/88a9458c317b3f7ee62b206b8ee4574b,https://www.workato.com/,Cupertino,2 to 10,less than $1M (USD),Workato is the leading Enterprise Automation Platform.,0.5
in-3b07f4e5fb4e1130,indeed,https://www.indeed.com/viewjob?jk=3b07f4e5fb4e1130,https://jobs.renesas.com/job/senior-device-design-and-integration-engineer-in-goleta-california-united-states-jid-3758,Senior Device Design & Integration Engineer,Renesas,"Goleta, CA, US",2025-12-19,[],description,yearly,100000.0,120000.0,USD,True,,,,[],Industrial Manufacturing,https://www.indeed.com/cmp/Renesas,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/2efd40533c36211b5382fd57bece6999,https://www.renesas.com/us/en,"Tokyo, JA",,$5B to $10B (USD),Renesas is an embedded semiconductor solution provider driven by its Purpose ‘To Make Our Lives Easier.’,0.5
in-5889a1b7b3bcf01e,indeed,https://www.indeed.com/viewjob?jk=5889a1b7b3bcf01e,https://jobs.ashbyhq.com/rula/8c3fc3e0-d9b3-47f4-91fd-f339f1f63492?utm_source=NXokZROjzZ,Staff AI Engineer,Rula,"Los Angeles, CA, US",2025-12-19,[],description,yearly,200000.0,236000.0,USD,True,,,,[],,https://www.indeed.com/cmp/Rula-2,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/8724260c156e80abe7b197f67d3f6f6c,https://www.rula.com,"Los Angeles, CA","1,001 to 5,000",Decline to state,"Rula Health fills caseloads and handles paperwork so therapists can focus on what they love: providing care to those in need. With guaranteed biweekly pay, it's no wonder thousands trust Rula.",0.5
in-ae64416885c0916d,indeed,https://www.indeed.com/viewjob?jk=ae64416885c0916d,https://jobs.ashbyhq.com/liquid/7b47044b-4b81-44b4-8986-ea5eaaa85c27?utm_source=Ml1l0Keq05,Staff Engineer,Liquid,"New York, NY, US",2025-12-19,[],description,yearly,200000.0,400000.0,USD,False,,,,[],,https://www.indeed.com/cmp/Liquid,,https://www.meetliquid.com,Lima,51 to 200,,,0.5
in-a641a5b3af57a9eb,indeed,https://www.indeed.com/viewjob?jk=a641a5b3af57a9eb,https://jobs.ashbyhq.com/helion/520b0d15-04e0-4da0-8d27-9b76e879548a?utm_source=xJBkn28zZa,Senior Electrical Simulation Engineer,Helion,"Everett, WA, US",2025-12-19,[],,,,,,False,,,,[],,https://www.indeed.com/cmp/Helion,,http://helion.pl/,"Gliwice, Poland",,,,0.5
in-c9f204f703f0a5a1,indeed,https://www.indeed.com/viewjob?jk=c9f204f703f0a5a1,https://jobs.ashbyhq.com/helion/3a958165-7937-4eb1-b0b3-9d8dab3c0d1d?utm_source=xJBkn28zZa,Senior Test Engineer,Helion,"Everett, WA, US",2025-12-19,[],,,,,,False,,,,[],,https://www.indeed.com/cmp/Helion,,http://helion.pl/,"Gliwice, Poland",,,,0.5
in-6d61f3d92b90abcb,indeed,https://www.indeed.com/viewjob?jk=6d61f3d92b90abcb,https://grnh.se/vzb3pgtk1us,Sr. Information Security Engineer,Bandwidth,"Raleigh, NC, US",2025-12-19,[],,,,,,False,,,,[],,https://www.indeed.com/cmp/Bandwidth-7,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/028fae14234625ff569d6726062c2cd1,http://www.bandwidth.com,"Raleigh, NC","1,001 to 5,000",$500M to $1B (USD),Bandwidth develops and delivers the power to communicate. Bandwidth is building a more connected world and writing the definition of what's possible.,0.5
in-5a925454f18602ea,indeed,https://www.indeed.com/viewjob?jk=5a925454f18602ea,https://grnh.se/e03iwkid1us,Backend / Database Engineer,SkyRyse,"El Segundo, CA, US",2025-12-19,[],description,yearly,140000.0,170000.0,USD,False,,,,[],,https://www.indeed.com/cmp/Skyryse,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/bffe0730e7c27fdf629098b10d0b5f7f,https://www.skyryse.com,Hawthorne,11 to 50,,,0.5
in-29a51956343eda4d,indeed,https://www.indeed.com/viewjob?jk=29a51956343eda4d,https://grnh.se/at2wohvd1us,IT Operations Engineer,Tanium,"Sacramento, CA, US",2025-12-19,[],,,,,,True,,,,[],,https://www.indeed.com/cmp/Tanium-1,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/197c1b2d484f16caee2e129a29249cd5,http://www.tanium.com,"Bellevue, WA","1,001 to 5,000",Decline to state,Tanium leads the paradigm shift in legacy approaches to managing complex security and technology environments.,0.5
