id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,relevance_score
in-c58f73912cf9d91d,indeed,https://www.indeed.com/viewjob?jk=c58f73912cf9d91d,https://click.appcast.io/t/2jZbYFh37DupclbYSZ1koqlWV7qCYWN31jB-9z7gcGA=,Business Analyst,CVS Health,"New York, NY, US",2025-12-19,[],description,yearly,46988.0,122400.0,USD,False,,,,[],,https://www.indeed.com/cmp/CVS-Health,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/ef487bd4918a595f3e86081a6c389d41,https://jobs.cvshealth.com,"Woonsocket, RI","10,000+",more than $10B (USD),CVS Health is a pharmacy innovation company with a simple and clear purpose: Helping people on their path to better health.,0.9
in-f31a4f47775d18e4,indeed,https://www.indeed.com/viewjob?jk=f31a4f47775d18e4,https://opportunities.columbia.edu/jobs/data-analyst-center-for-patient-safety-science-columbia-university-medical-center-new-york-united-states-596c7e30-5560-4d50-a3d2-4fedabc2feb4,Data Analyst - Center for Patient Safety Science,Columbia University,"New York, NY, US",2025-12-19,[],description,yearly,66300.0,70000.0,USD,False,,,,[],Education And Schools,https://www.indeed.com/cmp/Columbia-University,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/dbc99b0d63f096359927f19db84c48ea,https://www.columbia.edu/,"116th and Broadway
New York, NY 10027","10,000+",$1B to $5B (USD),,0.9
li-4327254626,linkedin,https://www.linkedin.com/jobs/view/4327254626,,Quantitative Analyst,"Constellation Insurance, Inc.","New York, NY",2025-12-12,,,,,,,,,,,,,https://www.linkedin.com/company/constellation-insurance-inc,,,,,,,1.0
li-4300417474,linkedin,https://www.linkedin.com/jobs/view/4300417474,,Quantitative Analyst/Associate - Investment Risk,Neuberger Berman,"New York, NY",2025-12-09,,,,,,,,,,,,,https://www.linkedin.com/company/neuberger-berman,,,,,,,1.0
li-4277813142,linkedin,https://www.linkedin.com/jobs/view/4277813142,,Quantitative Analyst (Hybrid NYC),Broadridge,"New York, NY",2025-12-06,,,,,,,,,,,,,https://www.linkedin.com/company/broadridge-financial-solutions,,,,,,,1.0
li-4325390766,linkedin,https://www.linkedin.com/jobs/view/4325390766,,"Associate, Quantitative Analyst (Model Validation)",Jefferies,"New York, NY",2025-12-01,,,,,,,,,,,,,https://www.linkedin.com/company/jefferies,,,,,,,1.0
li-4247613847,linkedin,https://www.linkedin.com/jobs/view/4247613847,,"Quantitative Analyst for a global Asset Management Firm (New York, NY)",Quanta Search,"New York, NY",2025-06-12,,,,,,,,,,,,,https://www.linkedin.com/company/quanta-search,,,,,,,1.0
li-4247619266,linkedin,https://www.linkedin.com/jobs/view/4247619266,,Quantitative Analyst for HF Algo Trading Team,Quanta Search,"New York, NY",2025-06-12,,,,,,,,,,,,,https://www.linkedin.com/company/quanta-search,,,,,,,1.0
li-4327919639,linkedin,https://www.linkedin.com/jobs/view/4327919639,,QIS Quantitative Analyst,UBS,"New York, NY",,,,,,,,,,,,,,https://ch.linkedin.com/company/ubs,,,,,,,1.0
li-4343997886,linkedin,https://www.linkedin.com/jobs/view/4343997886,,Market Risk Business Analyst,Crisil,,2025-12-16,,,,,,,,,,,,,https://in.linkedin.com/company/crisil,,,,,,,0.9
li-4306622870,linkedin,https://www.linkedin.com/jobs/view/4306622870,,Quantitative Researcher: Machine Learning - Data-Driven Global Investment Firm,Andiamo,"New York, NY",2025-12-15,,,,,,,,,,,,,https://www.linkedin.com/company/andiamo-partners,,,,,,,0.9
li-4348565597,linkedin,https://www.linkedin.com/jobs/view/4348565597,,Quantitative Researcher,Saragossa,,2025-12-05,,,,,,,,,,,,,https://uk.linkedin.com/company/saragossa,,,,,,,0.9
li-4315889427,linkedin,https://www.linkedin.com/jobs/view/4315889427,,Quantitative Research Analyst,Voya Investment Management,"New York, NY",2025-12-03,,,,,,,,,,,,,https://www.linkedin.com/company/voya-investment-management,,,,,,,0.9
li-4348052296,linkedin,https://www.linkedin.com/jobs/view/4348052296,,Quantitative Researcher,Acquire Me,,2025-12-01,,,,,,,,,,,,,https://uk.linkedin.com/company/acquireme,,,,,,,0.9
li-4335506208,linkedin,https://www.linkedin.com/jobs/view/4335506208,,Quantitative Researcher- Fixed Income Analytics,Delmar Nord,,2025-11-22,,,,,,,,,,,,,https://www.linkedin.com/company/delmar-nord,,,,,,,0.9
li-4247621106,linkedin,https://www.linkedin.com/jobs/view/4247621106,,Quantitative Researcher for a Systematic Investment firm,Quanta Search,"New York, NY",2025-06-12,,,,,,,,,,,,,https://www.linkedin.com/company/quanta-search,,,,,,,0.9
