id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,relevance_score
in-ea4ea2bf6ec8bf09,indeed,https://www.indeed.com/viewjob?jk=ea4ea2bf6ec8bf09,https://www.careers-page.com/mercor/job/633VXX3W?utm_medium=free_job_board&utm_source=indeed,Quantitative Traders,MERCOR,"New York, NY, US",2025-11-20,[],,,,,,False,,,,[],,https://www.indeed.com/cmp/Mercor,,https://www.mercor.be/,,,,,1.0
in-33250e4ae0a915fe,indeed,https://www.indeed.com/viewjob?jk=33250e4ae0a915fe,https://jobs.ubs.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25008&siteid=5012&PageType=JobDetails&jobid=331546&codes=IINDD,High Yield Credit Trader,UBS,"New York, NY, US",2025-12-11,[],,,,,,False,,,,[],Banks And Financial Services,https://www.indeed.com/cmp/UBS,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/06d942733f7ca3bd7ad2708bebac2153,https://www.ubs.com/global/en.html,"Bahnhofstrasse 45, 8001 Zurich, Switzerland","10,000+",$5M to $25M (USD),"UBS works with private clients, institutions and corporations around the world to help answer some of life's questions.",0.9
in-aec64236286873a7,indeed,https://www.indeed.com/viewjob?jk=aec64236286873a7,https://job-boards.greenhouse.io/miopartners/jobs/5019655008,Execution Trader,MIO Partners,"New York, NY, US",2025-12-04,[],description,yearly,160000.0,160000.0,USD,False,,,,[],,https://www.indeed.com/cmp/Mio-Partners,,,,,,,0.9
in-633fcd5e8d08d8a2,indeed,https://www.indeed.com/viewjob?jk=633fcd5e8d08d8a2,https://jsv3.recruitics.com/redirect?rx_cid=3618&rx_jobId=R-0000150015&rx_url=https%3A%2F%2Fjobs.rbc.com%2Fca%2Fen%2Fjob%2FR-0000150015%3Frx_a%3D0%26rx_c%3D%26rx_ch%3Djobp4p%26rx_group%3D300081%26rx_id%3Dbaa5d813-d138-11f0-8117-c766d9dc5a6d%26rx_job%3DR-0000150015%26rx_medium%3Dcpc%26rx_r%3Dnone%26rx_source%3Dindeed%26rx_ts%3D20251220T060417Z%26rx_vp%3Dcpc%26source%3DAPPLICANT_SOURCE_INDEEDORGANIC%26utm_medium%3Dcpc%26utm_source%3Dindeedorganic,"Vice President, Quantitative Analyst",RBC,"New York, NY, US",2025-12-04,[],description,yearly,135000.0,225000.0,USD,False,,,,[],,https://www.indeed.com/cmp/Rbc,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/24b5226a07f0233c415dc4023ca92a38,http://www.rbc.com,"Toronto, ON","10,000+",more than $10B (USD),"The Royal Bank of Canada is the largest financial institution in Canada, as measured by deposits, revenues, and market capitalization.",0.9
in-c23e9fb33c8287bd,indeed,https://www.indeed.com/viewjob?jk=c23e9fb33c8287bd,http://www.indeed.com/job/options-trader-ai-platform-c23e9fb33c8287bd,Options Trader (AI Platform),Revolutionary recycling,"New York, NY, US",2025-12-03,[],,,,,,False,,,,[],,https://www.indeed.com/cmp/Revolutionary-Recycling,,,,,,,0.9
in-07e8545eecd11e11,indeed,https://www.indeed.com/viewjob?jk=07e8545eecd11e11,https://anticapital.applytojob.com/apply/kDE9E1630X/Prediction-Markets-TraderMarket-Maker?source=INDE&~,Prediction Markets Trader/Market Maker,Anti Capital,"New York, NY, US",2025-12-03,[],description,yearly,100000.0,250000.0,USD,False,,,,[],,https://www.indeed.com/cmp/Anti-Capital,,,,,,,0.9
in-a380e5544fa98b11,indeed,https://www.indeed.com/viewjob?jk=a380e5544fa98b11,https://search.jobs.barclays/job/-/-/13015/89060416432,Markets Quantitative Analyst Summer Internship 2027 New York,Barclays,"New York, NY, US",2025-12-01,[],,,,,,False,,,,[],Banks And Financial Services,https://www.indeed.com/cmp/Barclays,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/76b365e481c96410a45876ea3fcf78d9,https://home.barclays/,"1 Churchill Place
London E14 5HP","10,000+",more than $10B (USD),"With 330 years of success, quality and innovation behind us, we offer careers that provide endless opportunity. Discover our world. Explore your future.",0.9
in-a4eaf0d1d15e4465,indeed,https://www.indeed.com/viewjob?jk=a4eaf0d1d15e4465,https://higher.gs.com/roles/156138,"Quantitative Strategist, Global Banking & Markets, Global Currency and Emerging Markets (GCEM)",Goldman Sachs,"New York, NY, US",2025-11-28,[],description,yearly,150000.0,225000.0,USD,False,,,,[],"Banks And Financial Services, Banks And Financial Services",https://www.indeed.com/cmp/Goldman-Sachs,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b7ac5861c1a32f420ae39e799363674d,http://www.goldmansachs.com,"200 West St.
New York NY, United States 10282","10,000+",more than $10B (USD),"Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world.",0.9
in-d60847f265d41f74,indeed,https://www.indeed.com/viewjob?jk=d60847f265d41f74,https://JPMorganChase.contacthr.com/150018658,Quantitative Research – Markets Treasury – Associate,JPMorganChase,"New York, NY, US",2025-11-27,[],,,,,,False,,,,[],,https://www.indeed.com/cmp/Jpmorganchase-2,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/62e186e96c7550325814ef6880fae379,https://www.jpmorganchase.com/,"New York, NY","10,000+",more than $10B (USD),"Headquartered in New York City, JPMorgan Chase is the largest bank in the United States.",0.9
in-1ef8965fb242cb58,indeed,https://www.indeed.com/viewjob?jk=1ef8965fb242cb58,https://careers.gic.com.sg/job/New-York-AssociateAVP%2C-Quantitative-Strategist%2C-Structured-Product-Group/1330544366/,"Associate/AVP, Quantitative Strategist, Structured Product Group",GIC,"New York, NY, US",2025-11-20,[],,,,,,False,,,,[],,https://www.indeed.com/cmp/Gic-fd5d6266,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/da153389950326e03e44c23254788f9e,https://gic.careers,Singapore,"1,001 to 5,000",Decline to state,"At GIC, we have one purpose: to generate good returns for present and future generations of Singaporeans, while benefiting the local communities we invest in around the world.",0.9
