id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,relevance_score
in-5a925454f18602ea,indeed,https://www.indeed.com/viewjob?jk=5a925454f18602ea,https://grnh.se/e03iwkid1us,Backend / Database Engineer,SkyRyse,"El Segundo, CA, US",2025-12-19,[],description,yearly,140000.0,170000.0,USD,False,,,,[],,https://www.indeed.com/cmp/Skyryse,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/bffe0730e7c27fdf629098b10d0b5f7f,https://www.skyryse.com,Hawthorne,11 to 50,,,0.5
in-10f9ef84f49b08fb,indeed,https://www.indeed.com/viewjob?jk=10f9ef84f49b08fb,https://jobs.ashbyhq.com/helion/05b910bc-8c44-41e4-8ee8-3ccdec7b9a6f?utm_source=xJBkn28zZa,Senior Firmware Engineer,Helion,"Everett, WA, US",2025-12-19,[],,,,,,False,,,,[],,https://www.indeed.com/cmp/Helion,,http://helion.pl/,"Gliwice, Poland",,,,0.5
in-74f20c9e6fff4391,indeed,https://www.indeed.com/viewjob?jk=74f20c9e6fff4391,https://careers.viasat.com/jobs/5523?lang=en-us,"Embedded Software Engineer, Viasat Government",Viasat,"Marlborough, MA, US",2025-12-19,[],description,yearly,135500.0,214000.0,USD,False,,,,[],Telecommunications,https://www.indeed.com/cmp/Viasat,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/217f336dfe978d8a14cfbd9e8dd26b02,https://viasat.com,"6155 El Camino Real, Carlsbad, CA 92009","5,001 to 10,000",$1B to $5B (USD),"At Viasat, we’re on a mission to deliver connections with the capacity to change the world. For more than 35 years, Viasat has helped shape how consumers, businesses, governments and militaries around",0.5
in-d37e16b6cb655055,indeed,https://www.indeed.com/viewjob?jk=d37e16b6cb655055,https://click.appcast.io/t/Ab7bfTZmHJ10mLJ8l293LP7AIOwrNGrTIbnSRyA8uvI=,"(USA) Senior, Software Engineer",Walmart,"Bentonville, AR, US",2025-12-19,[],description,yearly,90000.0,180000.0,USD,False,,,,[],,https://www.indeed.com/cmp/Walmart,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/81872361234125a30d818f132d5fa3f8,https://careers.walmart.com,"Bentonville, AR","10,000+",more than $10B (USD),"Headquartered in Bentonville, Arkansas, Walmart is a multinational corporation that operates the largest chain of department stores globally.",0.5
in-082eb3a50e761969,indeed,https://www.indeed.com/viewjob?jk=082eb3a50e761969,https://www.github.careers/careers-home/jobs/4867?lang=en-us,"Senior Software Engineer, Copilot Agents",GitHub,US,2025-12-19,[],,,,,,True,,,,[],,https://www.indeed.com/cmp/Github,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/dab6afa7f42ebfc7bf2388f07b723c58,https://github.com,"San Francisco, California, United States",,,,0.5
in-c9a939af7cf95408,indeed,https://www.indeed.com/viewjob?jk=c9a939af7cf95408,https://www.amazon.jobs/jobs/3136266/robotics--software-development-engineer-interncoop--?cmpid=DA_INAD200785B,Robotics - Software Development Engineer Intern/Co-op - 2026,Amazon.com,"Austin, TX, US",2025-12-02,[],,,,,,False,,,,[],Internet And Software,https://www.indeed.com/cmp/Amazon.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3e9d43f5c277de169808abdcaf49ba2c,https://www.amazon.jobs,"440 Terry Ave N, Seattle, WA, United States, Washington","10,000+",more than $10B (USD),Our mission is to be Earth's most customer-centric company.,0.5
in-e7e3949a6130f5a5,indeed,https://www.indeed.com/viewjob?jk=e7e3949a6130f5a5,https://www.amazon.jobs/jobs/3136266/robotics--software-development-engineer-interncoop--?cmpid=DA_INAD200785B,Robotics - Software Development Engineer Intern/Co-op - 2026,Amazon.com,"Arlington, VA, US",2025-12-02,[],,,,,,False,,,,[],Internet And Software,https://www.indeed.com/cmp/Amazon.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3e9d43f5c277de169808abdcaf49ba2c,https://www.amazon.jobs,"440 Terry Ave N, Seattle, WA, United States, Washington","10,000+",more than $10B (USD),Our mission is to be Earth's most customer-centric company.,0.5
in-ebf8f6334f5dc07a,indeed,https://www.indeed.com/viewjob?jk=ebf8f6334f5dc07a,https://www.amazon.jobs/jobs/3136266/robotics--software-development-engineer-interncoop--?cmpid=DA_INAD200785B,Robotics - Software Development Engineer Intern/Co-op - 2026,Amazon.com,"Seattle, WA, US",2025-12-02,[],,,,,,False,,,,[],Internet And Software,https://www.indeed.com/cmp/Amazon.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3e9d43f5c277de169808abdcaf49ba2c,https://www.amazon.jobs,"440 Terry Ave N, Seattle, WA, United States, Washington","10,000+",more than $10B (USD),Our mission is to be Earth's most customer-centric company.,0.5
in-4ed957aef605fc44,indeed,https://www.indeed.com/viewjob?jk=4ed957aef605fc44,https://www.amazon.jobs/jobs/3136266/robotics--software-development-engineer-interncoop--?cmpid=DA_INAD200785B,Robotics - Software Development Engineer Intern/Co-op - 2026,Amazon.com,"North Reading, MA, US",2025-12-02,[],,,,,,False,,,,[],Internet And Software,https://www.indeed.com/cmp/Amazon.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3e9d43f5c277de169808abdcaf49ba2c,https://www.amazon.jobs,"440 Terry Ave N, Seattle, WA, United States, Washington","10,000+",more than $10B (USD),Our mission is to be Earth's most customer-centric company.,0.5
in-b004dd014357b2ed,indeed,https://www.indeed.com/viewjob?jk=b004dd014357b2ed,https://www.amazon.jobs/jobs/3136266/robotics--software-development-engineer-interncoop--?cmpid=DA_INAD200785B,Robotics - Software Development Engineer Intern/Co-op - 2026,Amazon.com,"Westborough, MA, US",2025-12-02,[],,,,,,False,,,,[],Internet And Software,https://www.indeed.com/cmp/Amazon.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3e9d43f5c277de169808abdcaf49ba2c,https://www.amazon.jobs,"440 Terry Ave N, Seattle, WA, United States, Washington","10,000+",more than $10B (USD),Our mission is to be Earth's most customer-centric company.,0.5
in-321b1e5666df967c,indeed,https://www.indeed.com/viewjob?jk=321b1e5666df967c,https://www.amazon.jobs/jobs/3136266/robotics--software-development-engineer-interncoop--?cmpid=DA_INAD200785B,Robotics - Software Development Engineer Intern/Co-op - 2026,Amazon.com,"Nashville, TN, US",2025-12-02,[],,,,,,False,,,,[],Internet And Software,https://www.indeed.com/cmp/Amazon.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3e9d43f5c277de169808abdcaf49ba2c,https://www.amazon.jobs,"440 Terry Ave N, Seattle, WA, United States, Washington","10,000+",more than $10B (USD),Our mission is to be Earth's most customer-centric company.,0.5
in-7b1f944edb7a4777,indeed,https://www.indeed.com/viewjob?jk=7b1f944edb7a4777,https://www.amazon.jobs/jobs/3136266/robotics--software-development-engineer-interncoop--?cmpid=DA_INAD200785B,Robotics - Software Development Engineer Intern/Co-op - 2026,Amazon.com,"Bellevue, WA, US",2025-12-02,[],,,,,,False,,,,[],Internet And Software,https://www.indeed.com/cmp/Amazon.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3e9d43f5c277de169808abdcaf49ba2c,https://www.amazon.jobs,"440 Terry Ave N, Seattle, WA, United States, Washington","10,000+",more than $10B (USD),Our mission is to be Earth's most customer-centric company.,0.5
