id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,relevance_score
li-4344850546,linkedin,https://www.linkedin.com/jobs/view/4344850546,,Software Engineer 1,Intuit,"New York, NY",2025-12-18,,,,,,,,,,,,,https://www.linkedin.com/company/intuit,,,,,,,1.0
li-3999823822,linkedin,https://www.linkedin.com/jobs/view/3999823822,,"Software Engineer, Backend (All Teams)",DoorDash,"New York, NY",2025-12-18,,,,,,,,,,,,,https://www.linkedin.com/company/doordash,,,,,,,1.0
li-4243684882,linkedin,https://www.linkedin.com/jobs/view/4243684882,,Software Engineer,Plaid,"New York, NY",2025-12-17,,,,,,,,,,,,,https://www.linkedin.com/company/plaid-,,,,,,,1.0
li-4344446620,linkedin,https://www.linkedin.com/jobs/view/4344446620,,"Software Engineer, Backend",Squarespace,"New York, NY",2025-12-17,,,,,,,,,,,,,https://www.linkedin.com/company/squarespace,,,,,,,1.0
li-4339062235,linkedin,https://www.linkedin.com/jobs/view/4339062235,,"Software Engineer, Ad Serving",Roku,"New York, NY",2025-12-17,,,,,,,,,,,,,https://www.linkedin.com/company/roku,,,,,,,1.0
li-4343371639,linkedin,https://www.linkedin.com/jobs/view/4343371639,,Software Engineer - Frontend,Nextdoor,"New York, NY",2025-12-16,,,,,,,,,,,,,https://www.linkedin.com/company/nextdoor-com,,,,,,,1.0
li-4349823503,linkedin,https://www.linkedin.com/jobs/view/4349823503,,Software Engineer,Reason,"Brooklyn, NY",2025-12-12,,,,,,,,,,,,,https://uk.linkedin.com/company/reasonrecruitment,,,,,,,1.0
li-4164164423,linkedin,https://www.linkedin.com/jobs/view/4164164423,,"Backend Software Engineer, CloudKitchens - New York City",CloudKitchens,"New York, NY",2025-12-06,,,,,,,,,,,,,https://www.linkedin.com/company/cloudkitchens,,,,,,,1.0
li-4289332289,linkedin,https://www.linkedin.com/jobs/view/4289332289,,Software Engineer - Platform,Plaid,"New York, NY",2025-12-06,,,,,,,,,,,,,https://www.linkedin.com/company/plaid-,,,,,,,1.0
li-4341558094,linkedin,https://www.linkedin.com/jobs/view/4341558094,,Software Engineer,January,"New York, NY",2025-12-04,,,,,,,,,,,,,https://www.linkedin.com/company/januarytechnologies,,,,,,,1.0
li-4321782360,linkedin,https://www.linkedin.com/jobs/view/4321782360,,"Software Engineer, Frontend - Acuity",Squarespace,"New York, NY",2025-12-04,,,,,,,,,,,,,https://www.linkedin.com/company/squarespace,,,,,,,1.0
li-4325051149,linkedin,https://www.linkedin.com/jobs/view/4325051149,,"Software Engineer, Early Career",Affirm,"New York, NY",2025-11-29,,,,,,,,,,,,,https://www.linkedin.com/company/affirm,,,,,,,1.0
li-4339208100,linkedin,https://www.linkedin.com/jobs/view/4339208100,,"Senior Software Engineer, Backend",Duolingo for Schools,"New York, NY",2025-11-27,,,,,,,,,,,,,https://www.linkedin.com/company/duolingoschools,,,,,,,1.0
li-4338724977,linkedin,https://www.linkedin.com/jobs/view/4338724977,,Full Stack Software Engineer,LayerOne,"New York, NY",2025-11-24,,,,,,,,,,,,,https://www.linkedin.com/company/layerone-ai,,,,,,,1.0
li-4338267967,linkedin,https://www.linkedin.com/jobs/view/4338267967,,"Software Engineer, Backend",Clay,"New York, NY",2025-11-21,,,,,,,,,,,,,https://www.linkedin.com/company/grow-with-clay,,,,,,,1.0
li-4334207917,linkedin,https://www.linkedin.com/jobs/view/4334207917,,"Software Engineer, Search Platform",Notion,"New York, NY",,,,,,,,,,,,,,https://www.linkedin.com/company/notionhq,,,,,,,1.0
li-4345491632,linkedin,https://www.linkedin.com/jobs/view/4345491632,,Software Engineer 1,Intuit,"New York, NY",,,,,,,,,,,,,,https://www.linkedin.com/company/intuit,,,,,,,1.0
li-4334347546,linkedin,https://www.linkedin.com/jobs/view/4334347546,,"Software Engineer, Cloud Infrastructure",Notion,"New York, NY",,,,,,,,,,,,,,https://www.linkedin.com/company/notionhq,,,,,,,1.0
li-4344290535,linkedin,https://www.linkedin.com/jobs/view/4344290535,,Software Development Engineer,Adobe,"New York, NY",2025-12-16,,,,,,,,,,,,,https://www.linkedin.com/company/adobe,,,,,,,0.9
li-4348119811,linkedin,https://www.linkedin.com/jobs/view/4348119811,,Front End Engineer,Resonance,"New York County, NY",2025-12-03,,,,,,,,,,,,,https://www.linkedin.com/company/ssg-advisors,,,,,,,0.9
